RecipeCode,Recipe,Servings,PrepTimeMins,CookTimeMins,Ingredient,Location,Units,Quantity,Sub Group
GS050,Huevos Rancheros,2,30,30,"Tomatoes (Whole, Tin)",Carrefour,g,800.0,1
GS050,Huevos Rancheros,2,30,30,Tomatoes,Market,g,800.0,1
GS050,Huevos Rancheros,2,30,30,Avocados,Market,medium,1.0,0
GS050,Huevos Rancheros,2,30,30,Lime,Market,medium,1.0,0
GS050,Huevos Rancheros,2,30,30,Spring Onion / Chives,Market,medium,2.0,0
SC088,Sausage Tagliatelle,4,30,480,Chorizo,Carrefour,medium,8.0,0
SC088,Sausage Tagliatelle,4,30,480,Mushrooms (Small),Carrefour,g,150.0,0
SC088,Sausage Tagliatelle,4,30,480,"Tomato (Diced, Tin)",Carrefour,g,400.0,0
SC088,Sausage Tagliatelle,4,30,480,Pasta (Spaghetti),Carrefour,g,250.0,0
SC088,Sausage Tagliatelle,4,30,480,Onion (Red),Market,medium,1.0,0
SC088,Sausage Tagliatelle,4,30,480,Garlic,Market,"",2.0,0
SC088,Sausage Tagliatelle,4,30,480,Bone Broth,Carrefour,"ml",150.0,0
SC088,Sausage Tagliatelle,4,30,480,Basil,Carrefour,"handful",1.0,0
EG142,Coconut Chicken Adobo,4,15,45,Chicken (Thigh),Carrefour,medium,4.0,0
EG142,Coconut Chicken Adobo,4,15,45,Garlic,Market,medium,5.0,0
EG142,Coconut Chicken Adobo,4,15,45,Coconut Cream,Carrefour,g,200.0,0
EG142,Coconut Chicken Adobo,4,15,45,Vinegar (Apple Cider),Carrefour,"tbsp",4.0,0
EG142,Coconut Chicken Adobo,4,15,45,Nuoc Nam Sauce,Asian Shop,tsp,1.0,0
EG142,Coconut Chicken Adobo,4,15,45,Ginger,Market,medium,1.0,0
EG142,Coconut Chicken Adobo,4,15,45,Green Beans,Market,g,300.0,0
EG142,Coconut Chicken Adobo,4,15,45,Spring Onion / Chives,Market,medium,2.0,0
GG188,Smoky Roast Chicken,6,15,90,Chicken (Whole),Carrefour,large,1.0,0
GG188,Smoky Roast Chicken,6,15,90,Lime,Market,medium,1.0,0
GG188,Smoky Roast Chicken,6,15,90,Sweet Potatoes,Market,medium,5.0,0
GG188,Smoky Roast Chicken,6,15,90,Garlic,Market,medium,4.0,0
BP023,No Admin,3,10,60,Green Beans,Market,medium,1.0,0
BP023,No Admin,3,10,60,Frozen Peas,Carrefour,medium,1.0,0
BP023,No Admin,3,10,60,Chicken (Thigh),Carrefour,medium,1.0,0
BP023,No Admin,3,10,60,Coconut Cream,Carrefour,medium,1.0,0
