RecipeCode,Recipe,Servings,PrepTimeMins,CookTimeMins,Ingredient,Location,Units,Quantity,Sub Group
HH200,Buckwheat Noodle Salad,3,20,35,Onion (Red),Market,small,1.0,0
HH200,Buckwheat Noodle Salad,3,20,35,Garlic,Market,medium,1.0,0
HH200,Buckwheat Noodle Salad,3,20,35,Noodles (Buckwheat),Carrefour,g,170.0,0
HH200,Buckwheat Noodle Salad,3,20,35,Carrots,Market,medium,2.0,0
HH200,Buckwheat Noodle Salad,3,20,35,Cabbage,Market,handful,1.0,0
HH200,Buckwheat Noodle Salad,3,20,35,Broccoli,Market,medium,1.0,1
HH200,Buckwheat Noodle Salad,3,20,35,Fennel,Carrefour,medium,1.0,1
HH200,Buckwheat Noodle Salad,3,20,35,Radishes,Market,handful,1.0,1
HH198,Roasted Vegetable Pesto,4,30,60,Carrots,Market,large,4.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Capsicum (Red),Market,large,1.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Tomatoes,Market,large,4.0,1
HH198,Roasted Vegetable Pesto,4,30,60,Cherry Tomatoes,Market,handful,4.0,1
HH198,Roasted Vegetable Pesto,4,30,60,Onion (Red),Market,large,1.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Beetroots,Market,large,3.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Salad Leaves,Market,handful,4.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Quinoa,Zero-waste,g,250.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Brazil Nuts,Zero-waste,medium,12.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Garlic,Market,medium,2.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Basil,Carrefour,handful,3.0,0
HH198,Roasted Vegetable Pesto,4,30,60,Lemon Juice,Market,tbsp,4.0,0
EO001,Eat Out,1,0,0,Banana Leaves,Asian Shop,piece,1.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Garlic,Market,medium,8.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Noodles (Buckwheat),Carrefour,"",4.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Broccoli,Market,medium,1.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Mushrooms (Small),Carrefour,"",12.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Spring Onion / Chives,Market,handful,2.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Lemon,Market,medium,1.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Sesame Seeds,Zero-waste,g,10.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Sesame Oil,Carrefour,tbsp,1.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Cashew Nuts,Zero-waste,g,50.0,0
DE002,Sesame Aubergine Noodles,4,15,10,Brinjal,Market,medium,1.0,0
DE003,Sundried Tomato Pasta,4,15,10,Pasta (Fusilli),Carrefour,g,400.0,0
DE003,Sundried Tomato Pasta,4,15,10,Tomatoes (Sun Dried),Carrefour,g,100.0,0
DE003,Sundried Tomato Pasta,4,15,10,Almonds,Zero-waste,g,100.0,0
DE003,Sundried Tomato Pasta,4,15,10,Tomato Puree,Carrefour,tbsp,2.0,0
DE003,Sundried Tomato Pasta,4,15,10,Garlic,Market,medium,2.0,0
DE003,Sundried Tomato Pasta,4,15,10,Almond Milk,Carrefour,"ml",310.0,0
DE003,Sundried Tomato Pasta,4,15,10,Vinegar (Balsamic),Carrefour,"tbsp",1.0,0
XX006,Dummy 6,4,30,60,Almonds,Zero-waste,g,1.0,0
XX006,Dummy 6,4,30,60,Almond Butter,Carrefour,g,1.0,0
